IndividualName,FieldID1,FieldID2,DateSampled,IndividualSampleLOCATION,Stream,RiverLocation,Run,Gender,Forklength(mm),LengthFork1,WILDorHAT?,Marks
OtsAC23COQR_0031,31,44WB-F31,10/26/2023,BandonHatchery,CoquilleRiver,,Fall,F,815,81.5,W,N
OtsAC23COQR_0032,32,44WB-F32,10/26/2023,BandonHatchery,CoquilleRiver,,Fall,F,870,87,W,N
OtsAC23COQR_0033,33,44WB-F33,10/26/2023,BandonHatchery,CoquilleRiver,,Fall,F,825,82.5,W,N
OtsAC23COQR_0034,34,44WB-F34,10/26/2023,BandonHatchery,CoquilleRiver,,Fall,F,895,89.5,W,N
OtsAC23COQR_0035,35,44WB-F35,10/26/2023,BandonHatchery,CoquilleRiver,,Fall,F,820,82,W,N
OtsAC23COQR_0036,36,44WB-M36,10/26/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,,W,N
OtsAC23COQR_0037,37,44WB-M37,10/26/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,,W,N
OtsAC23COQR_0038,38,44WB-M38,10/26/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,,W,N
OtsAC23COQR_0039,39,44WB-M39,10/26/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,,W,N
OtsAC23COQR_0040,40,44WB-M40,10/26/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,,W,N
OtsAC23COQR_0041,41,44WB-M41,10/26/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,,W,N
OtsAC23COQR_0042,42,44WB-F42,10/26/2023,BandonHatchery,CoquilleRiver,,Fall,F,756,75.6,W,N
OtsAC23COQR_0043,43,44WB-F43,10/26/2023,BandonHatchery,CoquilleRiver,,Fall,F,810,81,W,N
OtsAC23COQR_0044,44,44WB-F44,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,F,740,74,W,N
OtsAC23COQR_0045,45,44WB-F45,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,F,802,80.2,W,N
OtsAC23COQR_0046,46,44WB-F46,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,F,820,82,W,N
OtsAC23COQR_0048,48,44WB-F48,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,F,815,81.5,W,N
OtsAC23COQR_0049,49,44WB-M49,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,,W,N
OtsAC23COQR_0050,50,44WB-M50,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,,W,N
OtsAC23COQR_0051,51,44WB-M51,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,,W,N
OtsAC23COQR_0052,52,44WB-M52,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,,W,N
OtsAC23COQR_0053,53,44WB-M53,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,,W,N
OtsAC23COQR_0054,54,44WB-M54,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,,W,N
OtsAC23COQR_0055,55,44WB-M55,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,M,NA,,W,N
OtsAC23COQR_0056,56,44WB-F56,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,F,810,81,W,N
OtsAC23COQR_0057,57,44WB-F57,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,F,870,87,W,N
OtsAC23COQR_0058,58,44WB-F58,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,F,835,83.5,W,N
OtsAC23COQR_0059,59,44WB-F59,11/6/2023,BandonHatchery,CoquilleRiver,,Fall,F,825,82.5,W,N
OtsAC23COQR_0060,60,44WB-F60,11/6/2023,BandonHatchery,CoquilleRiver,,Fall,F,745,74.5,W,N
OtsAC23COQR_0001,1,44WB-F1,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,F,780,78,W,N
OtsAC23COQR_0002,2,44WB-F2,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,F,705,70.5,W,N
OtsAC23COQR_0003,3,44WB-F3,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,F,775,77.5,W,N
OtsAC23COQR_0004,4,44WB-F4,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,F,730,73,W,N
OtsAC23COQR_0005,5,44WB-F5,11/1/2023,BandonHatchery,CoquilleRiver,,Fall,F,750,75,W,N
